N,P,K,temperature,humidity,ph,rainfall,label
74,57,23,19.93,71.27,5.64,74.82,maize
25,62,22,29.52,59.59,6.13,135.02,pigeonpeas
86,27,29,24.68,54.0,6.71,120.1,coffee
35,11,30,26.66,93.75,5.97,171.58,coconut
25,25,30,29.78,47.32,5.91,91.84,mango
105,22,50,24.79,85.2,6.73,50.4,watermelon
48,58,20,30.58,63.73,7.35,67.82,blackgram
27,47,20,30.78,54.94,3.53,64.43,mothbeans
28,45,20,34.09,82.07,6.27,45.78,mungbean
23,66,23,32.09,54.82,6.4,134.16,pigeonpeas
27,137,200,23.59,91.48,6.04,126.11,apple
29,46,20,32.25,82.56,6.57,55.43,mungbean
89,42,19,23.23,64.16,6.18,84.79,maize
28,38,21,28.62,48.0,6.92,58.31,mothbeans
19,14,37,22.41,87.01,5.98,104.07,pomegranate
24,135,196,22.22,93.14,6.07,111.89,apple
83,51,41,23.98,74.2,7.46,160.16,jute
88,41,41,20.85,78.75,6.35,212.53,rice
22,140,197,22.83,92.67,5.94,115.63,apple
27,136,195,29.06,83.33,6.22,73.39,grapes
104,20,49,26.15,83.18,6.41,43.9,watermelon
29,68,21,21.63,64.97,6.56,48.54,lentil
34,82,18,22.98,66.21,6.04,44.97,lentil
103,88,52,27.44,80.13,6.48,100.82,banana
22,60,19,28.55,62.34,6.14,121.23,pigeonpeas
63,54,41,26.18,86.78,6.51,224.35,rice
30,73,20,33.02,52.72,4.97,159.35,pigeonpeas
114,18,45,26.26,84.45,6.38,50.84,watermelon
29,63,19,31.59,54.16,7.12,175.95,pigeonpeas
92,15,50,24.75,84.78,6.52,53.6,watermelon
95,34,34,25.95,65.29,7.16,173.3,coffee
17,23,7,31.13,95.11,7.29,109.14,orange
24,137,200,25.81,80.11,5.84,67.99,grapes
53,59,23,29.98,61.39,6.97,66.19,blackgram
25,62,17,32.16,63.87,7.32,151.02,pigeonpeas
31,77,21,30.89,55.73,6.08,125.71,pigeonpeas
38,119,202,21.71,82.16,5.93,74.14,grapes
35,130,202,22.33,80.27,5.91,70.13,grapes
72,50,19,17.47,69.63,6.32,98.48,maize
77,42,37,24.56,74.64,6.95,180.29,jute
31,36,19,36.51,83.67,6.68,63.12,mungbean
33,17,38,23.76,87.85,7.41,105.24,pomegranate
35,32,24,28.16,39.74,7.93,40.66,mothbeans
95,31,28,23.0,55.94,5.98,115.36,coffee
46,57,44,24.29,93.63,6.88,211.21,papaya
47,77,23,28.16,58.65,7.08,63.49,blackgram
104,48,25,23.27,80.8,7.39,76.88,cotton
84,44,42,25.32,76.39,7.04,179.88,jute
26,133,204,21.9,93.51,6.02,105.82,apple
82,49,24,25.42,60.62,6.74,77.31,maize
105,20,49,25.97,84.17,5.91,49.37,watermelon
95,31,54,27.94,94.15,6.23,26.08,muskmelon
73,54,39,24.04,79.2,6.71,168.22,jute
51,63,47,32.03,93.36,6.93,13.75,papaya
87,50,18,20.39,57.64,7.19,71.51,maize
113,21,51,24.81,85.39,6.63,43.41,watermelon
28,65,23,32.32,60.11,4.46,157.46,pigeonpeas
22,17,30,25.38,98.3,6.05,142.19,coconut
50,75,19,31.26,71.43,7.49,72.54,blackgram
31,71,21,23.96,64.91,6.16,35.77,lentil
120,34,27,28.19,56.96,6.33,141.21,coffee
85,31,50,25.19,89.69,6.06,56.1,watermelon
24,22,41,21.59,91.78,5.82,105.72,pomegranate
14,80,22,22.82,65.27,6.9,42.53,lentil
35,74,79,19.05,18.74,7.21,66.2,chickpea
87,47,41,26.16,77.55,6.6,171.87,jute
100,22,28,26.39,54.89,6.6,117.34,coffee
24,28,26,26.67,95.48,5.96,151.65,coconut
26,52,20,32.58,83.42,6.51,47.98,mungbean
114,51,20,24.17,76.72,7.28,92.05,cotton
85,53,40,24.68,77.18,7.39,170.38,jute
33,58,22,28.66,85.52,6.49,49.25,mungbean
92,31,31,27.52,59.36,6.54,144.76,coffee
30,72,19,32.44,65.14,5.03,162.7,pigeonpeas
95,22,46,25.49,84.69,6.37,52.52,watermelon
28,55,21,18.12,62.77,6.59,52.67,lentil
34,71,24,17.58,20.66,5.59,73.11,kidneybeans
28,131,205,22.79,93.67,6.33,114.79,apple
24,48,18,25.96,62.38,8.07,50.43,mothbeans
31,63,19,27.21,64.6,6.36,43.62,lentil
31,79,22,33.7,60.68,5.41,164.28,pigeonpeas
48,65,49,32.48,92.92,6.84,123.51,papaya
23,16,34,26.97,94.17,5.83,137.27,coconut
30,23,41,21.34,86.58,7.11,104.52,pomegranate
96,10,55,28.36,92.02,6.12,24.69,muskmelon
86,43,23,26.37,74.88,6.26,89.05,maize
85,89,45,27.47,82.01,5.81,94.11,banana
33,15,28,25.47,96.11,6.08,191.39,coconut
52,62,48,32.8,94.48,6.78,134.19,papaya
101,13,54,25.32,85.76,6.37,45.98,watermelon
30,73,80,22.51,17.39,8.04,79.85,chickpea
89,29,28,24.03,69.7,7.02,185.54,coffee
65,46,41,25.03,84.4,6.59,247.45,rice
108,30,25,24.19,58.79,6.28,156.23,coffee
86,39,32,28.16,55.43,6.8,178.8,coffee
34,28,32,30.19,54.5,6.57,93.51,mango
72,46,43,23.73,80.42,6.96,158.95,jute
23,44,24,31.51,84.53,7.1,51.19,mungbean
43,64,21,30.95,62.51,7.4,63.69,blackgram
83,40,39,25.1,76.69,7.15,186.11,jute
29,10,28,25.74,94.33,6.03,183.86,coconut
102,91,50,30.44,82.14,5.93,104.68,banana
73,53,22,25.98,68.56,6.32,93.41,maize
44,75,22,28.89,71.25,7.03,70.92,blackgram
22,130,197,22.74,93.73,5.94,113.21,apple
90,51,38,22.33,86.74,6.12,230.02,rice
29,16,28,26.49,93.57,6.52,209.32,coconut
96,17,45,28.17,90.94,6.38,24.98,muskmelon
68,49,40,27.04,83.47,6.58,192.93,rice
19,39,17,27.43,52.03,4.5,54.24,mothbeans
21,13,38,22.78,88.88,6.09,103.55,pomegranate
20,16,43,22.61,85.86,6.25,105.17,pomegranate
16,65,18,17.03,20.8,5.75,86.17,kidneybeans
21,48,19,36.58,85.59,6.85,41.66,mungbean
25,138,201,23.04,91.33,5.9,122.06,apple
91,49,16,20.06,68.79,5.96,71.37,maize
31,18,31,26.61,96.11,6.29,216.81,coconut
43,76,80,20.08,14.92,7.19,73.39,chickpea
19,134,203,22.58,91.31,5.75,122.33,apple
28,15,32,26.76,94.16,5.65,181.5,coconut
81,92,45,28.77,78.87,6.25,109.14,banana
36,30,31,34.03,51.83,6.46,88.94,mango
28,73,84,20.47,20.79,5.86,76.23,chickpea
13,35,19,33.05,89.43,6.83,49.38,mungbean
113,26,31,27.38,59.63,6.57,154.4,coffee
130,44,22,24.53,82.79,6.59,99.34,cotton
84,33,52,28.64,91.98,6.3,24.33,muskmelon
145,44,23,24.42,80.62,6.63,85.71,cotton
21,134,198,24.27,82.63,6.09,71.48,grapes
70,51,44,24.11,73.64,6.5,171.73,jute
103,34,30,26.0,65.07,6.89,140.68,coffee
58,65,48,23.61,91.32,6.81,40.99,papaya
31,14,28,26.45,94.8,6.15,163.44,coconut
47,68,19,27.9,66.67,6.71,69.79,blackgram
22,52,17,32.55,83.33,6.56,45.59,mungbean
22,66,18,21.32,21.42,5.76,147.61,kidneybeans
95,18,54,28.35,91.69,6.23,27.38,muskmelon
126,41,22,23.09,82.13,6.86,100.47,cotton
94,30,29,24.48,58.3,6.37,202.76,coffee
103,49,43,21.22,84.69,6.58,292.37,rice
30,49,24,28.48,46.56,4.48,42.68,mothbeans
44,59,48,32.25,93.62,6.89,202.5,papaya
23,133,199,31.12,82.48,6.14,69.4,grapes
22,132,204,21.43,91.14,5.77,114.36,apple
76,72,55,26.77,78.47,6.24,111.73,banana
25,61,18,34.87,53.94,6.21,131.9,pigeonpeas
21,40,22,35.62,86.01,6.99,56.67,mungbean
23,59,19,20.41,60.15,6.76,40.02,lentil
48,72,22,27.47,70.64,7.31,72.85,blackgram
34,66,21,23.0,64.09,6.57,46.49,lentil
20,29,29,32.66,52.25,6.18,96.03,mango
43,135,197,22.2,92.77,6.56,118.28,apple
23,53,17,27.59,85.79,6.84,42.88,mungbean
106,32,32,24.09,56.22,6.44,148.72,coffee
87,16,46,23.76,83.23,6.86,50.59,watermelon
80,40,42,25.56,78.23,6.69,170.94,jute
19,61,18,27.95,69.51,6.77,46.7,lentil
35,65,23,16.74,21.45,5.54,106.61,kidneybeans
32,62,18,31.52,69.46,6.75,68.36,blackgram
27,11,12,18.88,92.38,7.55,111.0,orange
27,64,23,30.15,63.1,6.51,47.17,lentil
36,126,203,16.94,81.83,5.9,68.61,grapes
50,77,77,19.49,20.84,6.94,73.78,chickpea
33,59,16,29.73,67.27,6.6,46.12,lentil
82,45,23,24.6,67.41,5.81,71.26,maize
96,16,51,27.84,92.64,6.11,28.06,muskmelon
28,140,198,22.49,93.63,5.87,123.58,apple
76,43,41,26.5,85.1,6.37,222.26,rice
31,21,43,19.1,88.45,5.38,103.95,pomegranate
29,38,19,31.42,50.89,4.42,31.27,mothbeans
81,19,49,28.06,93.42,6.47,29.6,muskmelon
29,17,8,14.47,93.71,6.52,108.71,orange
51,59,50,38.37,90.24,6.84,81.2,papaya
18,20,33,32.89,48.02,6.06,94.59,mango
93,57,35,20.96,87.02,6.17,228.34,rice
95,55,18,23.36,79.04,7.16,83.97,cotton
99,7,48,28.54,91.89,6.3,25.51,muskmelon
77,44,42,24.98,72.05,6.61,167.63,jute
17,67,20,25.22,65.05,6.18,51.51,lentil
106,30,30,24.49,58.09,6.33,171.54,coffee
28,19,30,27.1,94.63,6.27,177.5,coconut
91,49,41,24.15,75.96,6.19,180.98,jute
18,141,203,35.24,82.97,6.23,73.1,grapes
35,71,16,33.06,56.73,5.65,81.42,pigeonpeas
26,59,19,29.24,63.44,6.35,38.28,lentil
53,54,51,38.7,92.05,6.82,153.63,papaya
29,74,15,24.62,68.52,7.33,40.25,lentil
24,76,19,35.82,72.12,5.61,85.71,pigeonpeas
36,10,12,33.14,91.46,6.48,118.38,orange
49,63,21,27.52,71.51,6.34,66.06,blackgram
27,35,31,30.81,52.03,6.33,94.32,mango
28,75,14,18.82,21.37,5.86,114.52,kidneybeans
107,85,49,28.5,78.33,5.85,107.57,banana
13,60,20,18.97,19.57,5.83,82.99,kidneybeans
102,21,32,26.84,61.41,6.02,151.26,coffee
21,47,19,30.93,88.83,6.64,38.24,mungbean
90,26,31,27.25,58.06,6.5,173.85,coffee
32,68,22,30.58,69.7,6.78,46.69,lentil
37,71,22,18.68,23.19,5.77,137.68,kidneybeans
25,22,5,19.3,91.48,6.56,111.49,orange
101,20,47,25.9,84.51,6.47,47.04,watermelon
44,77,20,30.64,68.58,7.67,68.09,blackgram
22,19,42,21.07,88.84,6.15,108.31,pomegranate
24,142,201,22.5,93.02,6.33,118.14,apple
87,85,54,28.23,79.9,5.99,89.03,banana
24,68,79,18.62,20.27,5.78,69.52,chickpea
42,26,27,32.75,47.43,5.58,91.94,mango
18,13,36,23.81,89.38,6.21,101.42,pomegranate
24,17,8,19.09,93.15,6.64,97.55,orange
102,26,30,25.18,59.33,6.5,166.96,coffee
24,75,23,19.39,24.11,5.75,99.56,kidneybeans
36,15,11,21.38,92.91,6.31,107.97,orange
30,132,202,23.81,91.55,6.01,117.96,apple
28,78,76,19.1,16.87,8.34,67.4,chickpea
33,74,16,20.13,20.98,5.62,68.46,kidneybeans
99,49,39,24.46,83.73,6.17,249.06,rice
26,125,205,20.67,93.01,6.06,110.6,apple
24,52,18,29.18,61.61,7.27,38.17,mothbeans
106,27,30,26.15,54.65,7.0,156.3,coffee
25,65,22,19.18,20.36,5.67,71.26,kidneybeans
103,81,49,27.16,77.13,5.93,112.06,banana
24,130,195,21.69,91.96,6.09,103.28,apple
93,29,49,25.16,87.94,6.21,50.63,watermelon
28,126,205,22.63,91.93,5.91,111.52,apple
38,61,81,16.92,19.35,7.29,76.58,chickpea
47,68,20,32.53,67.17,7.34,69.75,blackgram
39,69,22,28.05,64.15,7.64,62.2,blackgram
17,31,30,32.22,51.73,6.71,94.15,mango
44,70,19,27.02,60.81,6.37,63.55,blackgram
92,22,52,24.82,90.39,6.43,44.53,watermelon
82,58,18,20.16,57.84,6.45,92.82,maize
82,91,49,27.79,80.32,6.17,109.91,banana
29,76,25,21.98,19.51,5.93,85.97,kidneybeans
31,81,18,30.87,60.07,6.1,130.56,pigeonpeas
35,69,26,35.32,68.81,7.05,167.86,pigeonpeas
32,53,20,33.37,84.71,6.45,39.58,mungbean
94,17,51,25.77,83.63,6.88,42.21,watermelon
42,79,78,19.46,17.29,7.53,78.9,chickpea
91,24,31,25.0,48.25,6.32,141.84,coffee
106,86,53,25.16,83.74,6.03,120.13,banana
53,70,18,29.66,64.28,6.93,66.93,blackgram
108,41,23,22.75,77.7,6.37,92.25,cotton
37,48,17,27.38,44.77,4.9,37.49,mothbeans
119,58,22,25.12,82.41,6.94,79.32,cotton
20,23,9,20.7,93.33,6.83,114.11,orange
36,67,20,21.62,20.74,5.72,93.91,kidneybeans
83,44,40,23.21,84.59,6.25,263.89,rice
43,65,20,19.93,66.39,6.83,46.42,lentil
91,49,42,24.52,80.81,6.68,167.3,jute
24,129,202,12.81,81.91,5.93,71.87,grapes
19,19,31,25.43,95.34,5.96,177.93,coconut
50,56,54,30.87,93.29,6.81,125.33,papaya
23,21,34,26.08,92.03,5.91,172.01,coconut
41,46,20,26.41,68.12,5.77,46.74,mothbeans
46,64,50,39.9,92.9,6.82,108.52,papaya
23,128,199,24.38,92.15,5.83,117.92,apple
36,73,86,20.64,21.21,6.31,69.44,chickpea
40,60,80,22.37,21.28,6.08,77.73,chickpea
98,21,49,25.61,85.81,6.41,55.02,watermelon
54,58,53,26.97,91.5,6.95,200.6,papaya
29,122,198,28.18,82.51,5.98,65.85,grapes
33,72,18,24.73,64.81,5.9,49.7,lentil
36,26,30,31.98,51.28,5.29,94.67,mango
92,18,47,24.89,84.25,6.31,46.76,watermelon
94,24,32,26.93,56.08,6.17,147.06,coffee
24,123,203,22.49,93.71,5.8,120.52,apple
23,25,32,32.59,48.69,6.36,94.67,mango
29,33,32,33.77,51.71,5.97,90.12,mango
26,127,198,29.07,82.3,5.62,69.67,grapes
113,23,46,25.15,84.38,6.05,39.6,watermelon
27,70,19,31.78,58.51,6.11,168.82,pigeonpeas
51,60,48,38.08,93.33,6.73,172.35,papaya
83,33,32,24.4,66.93,6.19,171.69,coffee
60,50,41,25.24,86.98,6.45,280.48,rice
40,16,41,25.7,90.74,6.07,101.19,pomegranate
19,19,33,26.73,96.44,6.04,213.69,coconut
25,15,40,22.36,89.35,6.37,111.25,pomegranate
34,31,31,30.22,50.28,5.79,94.91,mango
25,15,8,20.26,92.45,6.39,115.37,orange
24,78,22,31.83,62.76,6.4,141.77,pigeonpeas
103,89,51,26.56,81.59,5.85,108.0,banana
88,38,19,19.97,61.81,5.94,77.33,maize
32,22,36,20.2,86.05,6.03,104.77,pomegranate
114,42,20,23.22,83.48,7.87,88.2,cotton
49,61,51,43.29,90.72,6.97,59.69,papaya
27,59,21,34.79,56.49,6.0,160.09,pigeonpeas
31,16,36,23.01,88.59,7.12,103.39,pomegranate
34,67,16,18.83,20.77,5.91,130.56,kidneybeans
31,23,38,17.19,89.8,5.8,104.57,pomegranate
39,27,31,31.51,48.99,5.03,91.98,mango
103,22,50,25.82,85.46,6.55,56.88,watermelon
97,23,51,25.15,88.77,6.71,45.59,watermelon
24,65,24,16.73,21.11,5.76,126.83,kidneybeans
102,25,47,27.72,90.73,6.49,26.76,muskmelon
38,80,83,20.01,17.1,8.36,74.24,chickpea
92,78,55,24.84,77.46,5.78,111.74,banana
19,47,22,33.2,83.29,6.83,50.76,mungbean
42,69,86,21.06,18.69,7.16,76.74,chickpea
110,9,51,28.0,91.7,6.31,26.14,muskmelon
38,70,80,17.79,15.82,7.65,65.84,chickpea
83,42,43,24.51,76.33,6.36,177.72,jute
43,65,53,31.58,92.64,7.01,129.82,papaya
24,26,31,34.21,51.18,5.63,95.08,mango
93,6,49,27.93,93.08,6.26,20.36,muskmelon
98,23,52,28.26,94.13,6.33,22.11,muskmelon
37,72,80,22.31,19.21,5.69,72.82,chickpea
51,68,21,26.53,62.05,7.28,69.0,blackgram
46,72,75,16.47,16.0,6.94,73.58,chickpea
25,128,201,22.78,93.91,6.19,121.67,apple
29,68,17,15.21,23.57,5.72,116.35,kidneybeans
27,56,22,37.95,86.15,6.57,54.21,mungbean
28,39,22,27.98,47.23,5.78,31.19,mothbeans
104,53,22,25.03,79.82,8.11,83.7,cotton
33,51,20,27.99,59.66,7.95,45.47,mothbeans
111,83,52,27.37,80.09,6.05,101.71,banana
83,19,46,25.23,90.77,6.25,44.88,watermelon
47,62,19,33.21,66.84,7.11,65.74,blackgram
30,7,9,36.92,90.08,6.88,109.07,orange
39,63,79,19.87,13.93,6.91,82.04,chickpea
32,45,18,31.31,82.37,6.36,47.38,mungbean
75,42,41,24.22,75.58,6.9,184.78,jute
26,30,37,20.31,90.6,6.26,102.66,pomegranate
86,43,40,23.58,72.35,6.77,157.33,jute
103,28,33,25.25,55.31,6.54,131.76,coffee
114,43,19,23.59,83.25,6.59,85.08,cotton
26,63,26,22.46,64.66,6.42,49.45,lentil
45,71,51,27.95,91.08,6.79,80.84,papaya
76,49,42,26.03,84.89,6.22,253.74,rice
22,67,79,22.62,17.57,6.97,82.41,chickpea
126,49,23,25.47,81.65,6.44,78.63,cotton
95,26,30,26.94,68.85,6.86,161.98,coffee
109,20,48,27.36,90.51,6.45,26.74,muskmelon
108,14,49,25.54,87.99,6.72,54.49,watermelon
34,66,20,19.39,20.31,6.06,83.94,kidneybeans
35,69,81,18.38,17.7,6.38,76.65,chickpea
86,85,49,28.38,80.3,6.05,109.72,banana
42,66,48,34.77,92.02,6.74,135.36,papaya
106,83,45,31.33,79.05,6.27,106.06,banana
32,75,78,19.49,19.08,7.12,68.5,chickpea
78,55,40,24.31,79.4,6.79,167.05,jute
103,72,51,29.02,80.46,6.18,105.12,banana
90,18,50,25.92,87.92,6.45,49.21,watermelon
39,65,18,30.25,61.12,7.64,68.66,blackgram
36,141,201,22.85,93.51,5.38,121.13,apple
101,80,49,29.49,84.06,5.9,99.15,banana
44,61,14,29.7,66.51,7.55,64.86,blackgram
108,84,51,27.55,83.9,6.4,99.07,banana
31,129,201,22.35,91.16,5.98,109.66,apple
34,73,25,30.32,54.49,6.89,194.92,pigeonpeas
110,31,29,26.62,69.75,6.98,143.4,coffee
89,7,50,28.19,95.06,6.23,23.76,muskmelon
39,71,21,33.95,64.48,7.54,67.56,blackgram
94,30,30,24.58,63.59,6.55,174.8,coffee
100,20,48,24.17,79.51,6.13,44.98,watermelon
43,35,34,32.25,48.72,6.04,94.64,mango
26,141,197,44.26,80.5,6.22,68.33,grapes
29,54,17,32.81,88.98,6.53,40.98,mungbean
105,10,52,27.42,92.38,6.13,29.03,muskmelon
119,45,22,24.35,81.17,7.58,86.37,cotton
32,72,81,21.49,17.99,6.19,72.94,chickpea
29,131,199,35.54,82.36,6.11,66.3,grapes
84,47,37,22.64,73.74,6.82,174.34,jute
17,25,11,25.25,93.23,7.25,103.6,orange
43,28,12,27.11,94.95,6.67,107.38,orange
101,14,50,25.6,83.67,6.75,53.0,watermelon
31,54,19,28.42,61.2,5.99,70.48,mothbeans
59,60,54,29.08,92.18,6.79,173.24,papaya
26,138,198,28.67,82.28,6.02,73.91,grapes
25,67,20,31.81,67.96,6.71,185.78,pigeonpeas
27,65,19,16.16,21.3,5.71,125.58,kidneybeans
21,16,34,26.44,95.07,6.1,186.5,coconut
92,59,41,24.23,76.97,6.89,165.63,jute
103,42,23,26.05,81.33,6.93,82.47,cotton
97,24,51,28.24,92.78,5.96,25.96,muskmelon
23,129,199,22.16,91.66,5.98,105.04,apple
95,5,51,24.04,87.75,6.31,55.78,watermelon
83,54,39,24.28,82.73,6.81,258.97,rice
34,15,30,26.56,94.05,6.12,179.84,coconut
51,62,52,36.29,91.82,6.7,111.46,papaya
30,74,20,31.71,41.88,6.74,123.73,pigeonpeas
30,22,39,21.0,84.12,7.03,104.43,pomegranate
88,56,41,24.96,88.57,6.48,197.31,rice
26,54,22,26.92,64.1,7.01,47.94,lentil
23,83,19,21.22,20.68,5.85,82.62,kidneybeans
67,47,21,21.19,57.81,6.66,79.81,maize
77,46,40,23.91,87.91,6.66,243.32,rice
17,132,197,22.21,92.63,5.9,115.02,apple
33,133,198,23.17,90.5,6.1,114.87,apple
93,40,40,24.74,76.97,6.38,188.9,jute
31,50,20,28.73,84.66,7.02,48.04,mungbean
102,53,20,23.77,77.27,5.98,69.44,cotton
30,132,200,17.3,81.82,5.84,66.81,grapes
119,55,21,23.52,77.94,6.86,83.41,cotton
41,69,20,30.39,61.57,5.9,164.63,pigeonpeas
42,71,47,27.95,93.83,6.77,150.12,papaya
103,78,50,31.49,82.71,5.96,110.34,banana
25,13,10,7.43,90.22,7.04,97.5,orange
89,84,45,28.95,77.96,6.4,101.06,banana
38,57,18,31.6,83.12,6.68,36.14,mungbean
25,58,20,28.92,41.88,5.41,132.94,pigeonpeas
107,74,52,26.7,79.48,6.43,106.91,banana
43,76,20,33.09,72.92,7.3,61.36,blackgram
19,50,19,30.49,47.05,6.13,47.68,mothbeans
29,62,22,23.07,69.2,6.87,47.39,lentil
121,9,46,28.16,91.9,6.79,21.92,muskmelon
18,46,20,30.23,82.01,6.58,39.81,mungbean
77,47,19,21.62,66.16,5.87,85.86,maize
34,20,8,35.91,90.83,6.94,106.92,orange
90,27,55,24.71,82.41,6.43,53.89,watermelon
81,51,43,22.6,80.68,6.57,246.89,rice
28,34,33,31.18,51.35,5.96,98.98,mango
40,131,198,46.25,82.43,5.73,72.81,grapes
73,51,41,25.17,73.74,7.29,174.02,jute
73,52,37,24.05,86.05,6.31,299.98,rice
91,19,51,26.3,89.65,6.96,54.43,watermelon
19,26,27,26.34,95.08,5.77,155.62,coconut
31,44,16,32.42,85.72,6.89,49.78,mungbean
86,54,42,24.99,76.08,6.08,167.9,jute
81,15,50,26.83,86.59,6.37,46.36,watermelon
26,72,20,32.18,58.25,5.59,191.78,pigeonpeas
100,20,45,25.09,83.61,5.92,46.02,watermelon
29,135,197,34.56,83.52,6.13,73.87,grapes
27,24,26,28.5,45.36,5.71,92.46,mango
29,12,9,19.42,92.89,6.85,112.03,orange
37,39,24,32.18,86.55,6.92,53.51,mungbean
20,21,25,25.39,97.04,6.56,128.12,coconut
21,57,16,35.27,86.23,6.57,42.63,mungbean
84,47,22,22.23,64.03,6.91,87.06,maize
61,49,38,23.69,83.84,6.84,197.3,rice
86,10,50,25.95,86.8,6.71,56.98,watermelon
32,80,20,18.13,22.54,5.76,107.21,kidneybeans
127,49,21,24.02,83.57,7.01,76.28,cotton
112,89,48,26.11,84.98,6.06,96.92,banana
21,74,18,17.0,19.27,5.77,133.47,kidneybeans
28,16,29,33.46,49.72,5.13,97.61,mango
25,139,200,22.64,93.0,5.74,106.57,apple
111,52,22,21.91,78.98,7.58,76.0,cotton
24,13,7,16.0,90.44,6.84,111.98,orange
24,21,8,12.82,93.21,6.73,105.12,orange
28,50,20,34.5,82.77,6.8,57.12,mungbean
37,136,197,22.06,91.66,5.56,121.75,apple
124,53,18,23.73,80.8,7.21,79.55,cotton
14,43,20,33.13,84.16,6.81,41.96,mungbean
122,53,21,23.16,77.68,7.09,74.7,cotton
48,65,22,27.39,60.12,7.29,62.33,blackgram
