Crop,District,Soil,Rainfall,Temperature,Humidity,N,P,K,pH,Season,Irrigation,Yield
Wheat,Rajkot,Sandy,790.5,21.5,60.1,35.4,74.9,101.2,7.38,Rabi,Tube Well,4.88
Rice,Rajkot,Alluvial,1183.5,25.0,76.3,24.7,59.5,50.3,7.47,Kharif,Rainfed,5.63
Barley,Ahmedabad,Red,622.8,21.7,52.2,132.4,13.1,58.9,8.4,Rabi,Drip,4.49
Cotton,Ahmedabad,Clay,1595.9,30.1,86.9,35.3,30.0,76.0,8.1,Kharif,Drip,3.2
Soybean,Bhavnagar,Black,592.8,30.6,67.7,119.2,35.6,109.0,6.67,Kharif,Tube Well,4.65
Cotton,Vadodara,Black,927.8,26.5,93.5,134.1,55.9,81.3,6.85,Kharif,Tube Well,4.02
Maize,Vadodara,Sandy,602.1,31.0,84.1,139.5,14.5,92.4,7.14,Kharif,Drip,5.59
Maize,Ahmedabad,Sandy,1253.3,30.1,79.3,71.1,27.8,56.6,8.18,Kharif,Canal,4.68
Barley,Surat,Clay,834.2,15.3,71.8,91.0,38.0,89.4,6.95,Rabi,Drip,4.66
Cotton,Amreli,Red,2068.9,23.6,79.8,21.4,47.5,20.9,5.86,Kharif,Canal,1.84
Rice,Surat,Clay,1324.8,26.0,91.1,46.8,87.1,16.3,8.41,Summer,Drip,5.25
Soybean,Bhavnagar,Clay,1393.7,19.0,69.4,136.3,51.8,81.1,7.59,Kharif,Sprinkler,2.64
Barley,Surat,Black,504.5,25.3,71.2,74.7,59.6,44.1,6.06,Rabi,Tube Well,4.46
Wheat,Ahmedabad,Sandy,496.3,17.0,49.1,74.4,12.6,44.4,6.73,Rabi,Canal,4.51
Soybean,Amreli,Red,1346.5,23.8,70.3,130.3,16.6,107.0,7.15,Kharif,Sprinkler,3.29
Soybean,Bhavnagar,Black,932.3,31.8,63.2,109.9,41.4,102.1,7.21,Kharif,Drip,4.6
Soybean,Bhavnagar,Clay,999.9,28.8,83.1,122.0,29.8,62.3,5.89,Kharif,Tube Well,4.06
Maize,Vadodara,Clay,1104.5,26.7,62.5,33.6,63.7,69.6,7.82,Rabi,Drip,5.92
Barley,Junagadh,Clay,571.9,13.9,41.0,110.6,59.6,88.9,6.14,Rabi,Tube Well,4.5
Barley,Junagadh,Alluvial,674.5,17.5,55.3,128.5,37.9,69.0,7.85,Rabi,Canal,5.45
Maize,Rajkot,Clay,913.4,29.8,76.9,27.9,13.7,80.2,6.54,Kharif,Rainfed,5.14
Barley,Surat,Red,391.7,13.8,44.5,38.2,21.1,82.3,6.05,Rabi,Tube Well,3.97
Maize,Surat,Clay,1041.7,21.1,78.8,61.4,37.8,18.3,7.15,Rabi,Canal,5.0
Soybean,Rajkot,Sandy,1304.8,19.8,61.6,58.6,17.4,65.5,7.56,Kharif,Canal,1.79
Soybean,Rajkot,Alluvial,1225.6,28.5,56.5,45.1,39.6,65.9,7.35,Kharif,Rainfed,3.64
Barley,Ahmedabad,Clay,370.2,15.5,65.0,127.4,50.9,70.9,5.82,Rabi,Canal,4.88
Rice,Bhavnagar,Clay,1589.6,33.8,67.7,84.2,28.7,51.0,6.92,Summer,Canal,4.58
Wheat,Surat,Black,613.8,20.2,65.8,86.9,56.9,74.3,6.64,Rabi,Sprinkler,5.89
Wheat,Surat,Red,531.7,25.1,40.3,47.0,39.2,66.2,8.05,Rabi,Sprinkler,4.59
Barley,Amreli,Black,638.5,17.7,74.4,33.4,41.8,116.8,8.1,Rabi,Tube Well,4.47
Barley,Surat,Black,656.2,20.0,49.8,112.3,25.0,49.0,6.78,Rabi,Canal,5.36
Rice,Junagadh,Black,1654.9,26.0,82.4,38.5,48.5,70.9,5.66,Summer,Drip,5.21
Wheat,Junagadh,Alluvial,726.5,13.2,44.9,20.3,19.3,64.7,7.32,Rabi,Sprinkler,4.59
Maize,Amreli,Black,1368.5,19.7,75.6,132.6,24.5,22.0,7.72,Kharif,Rainfed,4.03
Maize,Rajkot,Clay,647.3,20.3,78.5,99.8,51.8,52.7,8.13,Rabi,Rainfed,4.9
Rice,Ahmedabad,Red,1846.7,29.0,72.0,127.9,40.7,72.1,8.22,Kharif,Drip,4.72
Barley,Surat,Red,426.6,23.1,61.7,84.0,81.5,97.8,5.96,Rabi,Canal,4.8
Rice,Vadodara,Clay,846.9,30.0,87.9,125.2,37.4,101.2,5.83,Kharif,Drip,5.89
Soybean,Vadodara,Sandy,1194.7,18.2,70.9,87.9,67.3,77.9,7.98,Kharif,Rainfed,1.57
Barley,Ahmedabad,Alluvial,434.3,20.2,57.7,93.4,11.4,106.6,8.3,Rabi,Tube Well,5.03
Soybean,Bhavnagar,Alluvial,1018.7,26.5,64.8,108.4,84.7,112.2,6.85,Kharif,Drip,4.94
Barley,Vadodara,Clay,811.4,13.7,72.2,124.4,51.5,77.1,6.7,Rabi,Canal,4.54
Cotton,Rajkot,Clay,1266.9,27.6,81.1,130.4,37.7,51.4,7.71,Kharif,Canal,4.03
Rice,Surat,Red,997.2,24.5,80.0,70.3,83.2,53.1,7.24,Summer,Tube Well,5.26
Cotton,Rajkot,Black,1380.5,23.2,94.9,80.3,57.6,22.0,7.75,Kharif,Rainfed,3.49
Maize,Surat,Clay,840.0,29.7,70.6,55.3,67.1,70.4,7.1,Kharif,Sprinkler,5.99
Maize,Bhavnagar,Sandy,568.0,28.5,59.5,127.7,52.1,99.1,8.44,Kharif,Sprinkler,4.85
Wheat,Bhavnagar,Clay,653.4,15.6,46.9,80.7,57.6,50.6,7.21,Rabi,Drip,5.48
Wheat,Surat,Red,869.4,14.0,54.2,58.9,17.0,81.5,7.71,Rabi,Rainfed,4.38
Soybean,Surat,Clay,1024.7,23.9,81.2,118.1,37.3,42.2,6.64,Kharif,Tube Well,3.7
Soybean,Vadodara,Black,1275.0,21.1,84.1,113.6,19.1,74.4,8.46,Kharif,Canal,2.93
Rice,Ahmedabad,Red,1558.3,30.9,72.7,36.7,76.8,118.4,7.08,Kharif,Drip,5.32
Maize,Amreli,Alluvial,1233.5,25.0,52.4,68.6,49.8,90.6,5.82,Rabi,Sprinkler,5.39
Barley,Vadodara,Red,496.6,22.3,48.8,96.0,49.5,75.2,8.01,Rabi,Drip,5.13
Barley,Ahmedabad,Sandy,451.4,13.3,67.0,28.2,77.0,60.9,8.25,Rabi,Tube Well,3.22
Maize,Bhavnagar,Red,857.0,31.4,54.7,78.1,31.6,71.7,5.99,Rabi,Canal,5.84
Maize,Vadodara,Red,1193.8,19.5,52.6,107.4,49.6,87.3,6.8,Rabi,Drip,4.81
Maize,Surat,Alluvial,1125.2,21.8,70.7,63.3,17.3,111.3,5.91,Kharif,Rainfed,4.86
Cotton,Amreli,Red,1862.7,32.1,84.1,137.7,82.3,82.9,7.58,Kharif,Sprinkler,3.12
Rice,Vadodara,Alluvial,1623.6,36.0,81.7,76.8,35.0,27.7,7.69,Kharif,Canal,4.55
Maize,Bhavnagar,Clay,1260.1,22.5,79.0,24.4,57.7,39.2,5.86,Rabi,Rainfed,4.32
Wheat,Surat,Clay,536.9,22.1,42.3,57.8,53.2,98.0,6.46,Rabi,Tube Well,5.5
Wheat,Junagadh,Alluvial,828.6,12.3,70.6,83.5,85.1,98.9,8.49,Rabi,Tube Well,4.52
Cotton,Vadodara,Black,852.6,28.7,82.4,52.6,41.9,24.6,6.51,Kharif,Sprinkler,4.14
Rice,Surat,Clay,1214.8,25.3,66.3,22.1,89.0,59.9,6.65,Summer,Canal,5.62
Cotton,Junagadh,Red,1917.2,25.6,82.7,137.9,80.7,78.1,8.21,Kharif,Canal,2.84
Soybean,Bhavnagar,Clay,961.4,21.2,56.2,46.5,24.9,96.9,6.55,Kharif,Tube Well,3.28
Soybean,Amreli,Black,1335.0,31.9,56.1,67.5,70.7,88.1,5.96,Kharif,Drip,3.56
Soybean,Bhavnagar,Black,1305.4,30.0,66.0,66.9,31.8,65.1,5.63,Kharif,Drip,3.8
Wheat,Junagadh,Alluvial,531.0,25.0,65.7,53.8,30.2,15.5,7.59,Rabi,Drip,5.23
Soybean,Junagadh,Clay,568.5,29.9,67.3,77.7,57.4,101.6,6.54,Kharif,Rainfed,4.09
Wheat,Surat,Clay,753.7,19.3,70.4,49.4,22.6,31.8,6.5,Rabi,Sprinkler,5.29
Cotton,Bhavnagar,Clay,2145.8,28.5,91.4,20.6,75.6,39.0,8.23,Kharif,Tube Well,1.62
Wheat,Junagadh,Alluvial,629.1,12.1,50.0,94.0,88.5,81.3,6.28,Rabi,Sprinkler,5.08
Maize,Amreli,Red,889.0,29.8,63.7,41.5,70.3,97.8,6.02,Rabi,Canal,6.24
Cotton,Ahmedabad,Sandy,1032.9,32.8,86.3,76.8,14.6,22.8,8.06,Kharif,Tube Well,3.14
Cotton,Vadodara,Sandy,831.0,26.5,79.7,112.4,64.7,61.8,6.32,Kharif,Sprinkler,3.35
Soybean,Junagadh,Black,906.2,20.3,77.8,103.2,27.7,23.7,7.54,Kharif,Tube Well,3.22
Rice,Amreli,Sandy,1823.8,34.7,90.7,135.7,70.8,61.4,6.44,Summer,Rainfed,3.94
Wheat,Junagadh,Alluvial,460.2,24.2,65.0,87.5,47.7,72.0,5.98,Rabi,Sprinkler,5.38
Wheat,Junagadh,Red,422.2,12.5,72.2,94.0,73.7,65.6,5.85,Rabi,Sprinkler,4.27
Rice,Amreli,Sandy,1581.8,25.2,69.8,98.2,36.1,77.0,6.8,Summer,Rainfed,5.08
Wheat,Amreli,Red,766.4,25.3,71.8,106.9,69.9,30.3,5.81,Rabi,Sprinkler,4.84
Barley,Bhavnagar,Sandy,540.3,22.9,72.9,28.7,52.7,107.7,5.75,Rabi,Rainfed,3.68
Wheat,Amreli,Alluvial,790.3,14.8,45.9,32.5,60.9,89.2,5.59,Rabi,Canal,5.22
Barley,Rajkot,Black,864.4,25.3,61.9,114.0,59.0,65.9,7.48,Rabi,Canal,5.18
Barley,Ahmedabad,Red,440.2,18.1,65.4,91.2,62.0,65.3,7.35,Rabi,Drip,5.26
Maize,Bhavnagar,Sandy,1210.7,27.2,67.4,86.6,67.5,39.0,8.49,Kharif,Sprinkler,4.78
Wheat,Surat,Red,389.7,12.4,49.0,75.5,79.5,91.4,7.73,Rabi,Sprinkler,4.42
Cotton,Vadodara,Sandy,1319.5,35.8,66.2,124.0,56.3,61.1,7.68,Kharif,Rainfed,2.65
Wheat,Junagadh,Alluvial,675.8,24.8,47.4,94.8,60.5,92.0,5.89,Rabi,Tube Well,5.37
Cotton,Amreli,Alluvial,1322.0,29.2,77.4,28.3,45.0,25.2,6.72,Kharif,Rainfed,3.99
Cotton,Ahmedabad,Black,1237.0,27.6,90.7,21.1,57.1,77.9,6.69,Kharif,Tube Well,4.33
Maize,Ahmedabad,Red,903.9,27.4,55.1,73.9,57.0,114.6,6.26,Rabi,Canal,5.79
Maize,Vadodara,Clay,1203.6,27.9,65.6,123.7,54.7,71.7,5.6,Rabi,Sprinkler,5.27
Barley,Ahmedabad,Black,865.1,12.6,44.3,74.3,84.7,48.2,7.02,Rabi,Sprinkler,4.49
Maize,Ahmedabad,Sandy,613.2,19.9,55.0,132.8,68.6,32.1,6.07,Rabi,Rainfed,4.58
Soybean,Amreli,Clay,1095.5,31.7,63.1,22.1,29.5,102.2,8.09,Kharif,Canal,3.34
Rice,Amreli,Sandy,1101.9,31.2,76.8,98.1,18.5,84.1,8.5,Kharif,Drip,5.0
Barley,Bhavnagar,Black,573.8,24.2,67.4,88.0,69.1,107.2,6.71,Rabi,Drip,5.42
Barley,Ahmedabad,Alluvial,788.8,18.1,68.6,34.4,53.6,15.6,6.47,Rabi,Sprinkler,4.67
Cotton,Ahmedabad,Clay,1344.0,28.3,72.1,64.8,28.2,22.7,7.31,Kharif,Tube Well,4.0
Barley,Rajkot,Red,824.8,19.3,56.8,23.1,37.3,54.9,6.7,Rabi,Sprinkler,4.84
Soybean,Bhavnagar,Sandy,1047.1,28.7,78.5,106.2,86.4,16.9,6.09,Kharif,Rainfed,3.39
Maize,Surat,Sandy,816.5,19.4,67.0,50.8,32.8,47.3,7.91,Kharif,Sprinkler,4.33
Maize,Ahmedabad,Sandy,859.9,31.7,78.8,82.7,19.9,105.2,7.9,Rabi,Canal,5.18
Rice,Ahmedabad,Clay,1394.3,23.2,89.5,64.8,52.1,26.8,5.51,Summer,Rainfed,4.6
Barley,Amreli,Clay,475.4,15.0,61.4,69.3,77.2,109.5,6.56,Rabi,Rainfed,4.47
Wheat,Surat,Sandy,719.3,23.3,66.8,38.0,43.9,31.1,6.21,Rabi,Rainfed,4.19
Cotton,Ahmedabad,Black,934.0,22.3,84.3,92.9,53.7,39.4,6.67,Kharif,Sprinkler,3.67
Wheat,Surat,Clay,572.4,18.0,65.1,103.1,89.3,28.5,5.81,Rabi,Canal,5.92
Wheat,Amreli,Alluvial,393.7,13.2,71.3,43.0,35.9,38.8,6.56,Rabi,Sprinkler,4.74
Wheat,Junagadh,Clay,478.5,19.6,70.8,98.1,52.6,49.1,6.5,Rabi,Rainfed,5.09
Barley,Ahmedabad,Sandy,549.6,25.9,55.6,60.0,56.4,24.3,8.38,Rabi,Canal,3.84
Wheat,Amreli,Black,541.2,21.3,67.8,131.3,28.8,56.9,5.96,Rabi,Rainfed,5.39
Soybean,Junagadh,Sandy,1257.8,25.3,71.8,30.7,70.4,28.4,7.98,Kharif,Drip,3.13
Barley,Junagadh,Black,537.9,17.3,52.1,48.7,50.8,101.7,6.34,Rabi,Canal,5.15
Wheat,Junagadh,Alluvial,782.5,20.0,59.8,66.9,50.1,56.7,7.12,Rabi,Tube Well,5.93
Wheat,Amreli,Red,800.3,16.5,40.8,38.5,27.9,115.5,7.22,Rabi,Rainfed,4.82
Wheat,Rajkot,Alluvial,613.6,16.4,61.2,36.7,81.9,102.1,6.45,Rabi,Drip,5.53
Soybean,Ahmedabad,Sandy,709.3,19.1,77.2,34.6,57.5,113.3,8.13,Kharif,Drip,2.72
Soybean,Junagadh,Clay,1057.6,27.1,55.3,27.4,72.5,63.3,5.67,Kharif,Tube Well,3.68
Rice,Junagadh,Red,1665.3,30.9,71.9,47.9,27.7,33.2,7.47,Kharif,Rainfed,4.49
Barley,Bhavnagar,Alluvial,837.6,18.3,46.8,64.1,43.1,101.9,7.7,Rabi,Sprinkler,4.9
Barley,Amreli,Clay,724.5,14.7,61.7,58.8,76.7,81.1,6.1,Rabi,Canal,4.14
Soybean,Vadodara,Sandy,598.8,25.7,65.9,121.3,17.8,66.3,5.95,Kharif,Drip,4.29
Maize,Rajkot,Clay,913.5,29.0,81.2,134.6,73.0,48.1,7.56,Rabi,Sprinkler,5.99
Cotton,Vadodara,Black,2102.4,25.5,88.4,119.0,49.6,55.6,6.85,Kharif,Canal,2.78
Soybean,Surat,Clay,961.0,27.5,51.5,30.2,67.3,22.6,5.71,Kharif,Rainfed,3.56
Rice,Vadodara,Sandy,1446.7,35.9,94.1,133.1,72.7,52.3,6.74,Kharif,Canal,4.76
Wheat,Amreli,Sandy,512.5,22.8,61.9,65.8,26.5,27.7,7.35,Rabi,Drip,4.93
Barley,Rajkot,Black,641.7,12.6,73.9,115.8,33.4,117.9,7.31,Rabi,Drip,4.83
Cotton,Ahmedabad,Red,1273.6,35.0,71.7,64.7,44.6,61.1,7.34,Kharif,Canal,3.35
Barley,Junagadh,Sandy,721.8,18.9,40.4,139.1,63.7,48.3,8.14,Rabi,Sprinkler,4.47
Soybean,Vadodara,Clay,548.5,22.5,76.4,52.3,53.2,91.4,5.82,Kharif,Rainfed,3.26
Soybean,Bhavnagar,Sandy,1368.6,24.8,55.3,61.1,43.1,94.6,7.73,Kharif,Tube Well,2.51
Soybean,Amreli,Sandy,1185.0,20.2,66.2,21.1,29.7,91.3,8.48,Kharif,Drip,2.1
Maize,Ahmedabad,Alluvial,999.6,28.3,71.6,42.6,38.4,97.3,7.16,Kharif,Drip,6.0
Maize,Bhavnagar,Red,831.5,24.3,75.3,126.3,57.4,56.1,6.74,Kharif,Canal,5.84
Soybean,Ahmedabad,Sandy,1214.8,19.3,70.6,77.7,61.4,21.8,7.24,Kharif,Rainfed,2.27
Barley,Ahmedabad,Alluvial,498.4,23.6,57.4,29.2,14.7,50.1,7.85,Rabi,Tube Well,4.8
Barley,Vadodara,Sandy,592.1,14.1,51.5,72.1,17.1,38.2,7.29,Rabi,Tube Well,3.83
Rice,Amreli,Sandy,1760.3,35.9,87.4,108.8,86.0,36.3,7.2,Summer,Tube Well,3.97
Wheat,Ahmedabad,Red,735.1,20.2,60.5,103.7,84.4,97.2,5.67,Rabi,Sprinkler,5.32
Soybean,Vadodara,Clay,1222.4,24.4,66.9,36.0,16.4,91.4,6.99,Kharif,Rainfed,3.19
Rice,Rajkot,Sandy,1022.5,30.5,69.1,110.2,62.6,115.4,5.71,Summer,Drip,5.35
Cotton,Bhavnagar,Red,1902.0,35.6,76.1,71.5,77.6,43.2,5.97,Kharif,Rainfed,1.77
Cotton,Surat,Sandy,2069.0,23.9,81.0,69.3,37.8,109.5,5.57,Kharif,Canal,1.74
Soybean,Ahmedabad,Alluvial,1208.9,26.7,67.3,137.5,21.6,91.1,6.07,Kharif,Rainfed,3.79
Rice,Surat,Red,1651.9,26.9,68.4,38.1,28.0,41.4,8.05,Kharif,Sprinkler,4.98
Soybean,Vadodara,Alluvial,1150.5,18.9,74.8,85.2,16.5,63.1,6.95,Kharif,Rainfed,3.13
Soybean,Vadodara,Alluvial,1102.1,24.5,64.4,98.1,53.6,21.5,7.04,Kharif,Drip,4.34
Maize,Bhavnagar,Black,648.2,22.6,76.5,82.3,26.4,107.2,8.14,Rabi,Sprinkler,5.87
Cotton,Amreli,Red,1431.7,35.8,88.2,23.3,15.2,63.7,8.23,Kharif,Sprinkler,2.29
Barley,Bhavnagar,Sandy,568.6,13.3,55.4,43.5,24.9,24.9,6.57,Rabi,Drip,4.36
Rice,Junagadh,Clay,1354.4,34.8,81.0,39.0,65.7,98.3,6.45,Kharif,Drip,5.11
Soybean,Junagadh,Red,896.3,26.6,52.9,125.9,74.3,68.0,8.4,Kharif,Sprinkler,4.01
Soybean,Bhavnagar,Clay,1152.7,22.5,84.9,137.6,62.5,28.6,7.56,Kharif,Sprinkler,3.47
Barley,Vadodara,Red,535.3,16.2,72.1,33.3,70.8,118.7,8.2,Rabi,Sprinkler,4.34
Cotton,Junagadh,Black,1156.1,33.5,91.4,83.1,29.5,26.9,5.76,Kharif,Sprinkler,3.44
Wheat,Rajkot,Red,761.9,21.1,61.7,62.3,77.3,64.5,8.44,Rabi,Canal,5.36
Maize,Rajkot,Sandy,792.6,27.6,52.4,41.0,78.5,38.9,8.01,Kharif,Canal,5.61
Cotton,Ahmedabad,Black,846.5,26.3,84.6,132.6,79.7,95.4,7.87,Kharif,Sprinkler,3.77
Soybean,Bhavnagar,Alluvial,1316.5,27.4,69.6,33.3,45.8,63.3,8.09,Kharif,Tube Well,3.01
Barley,Bhavnagar,Red,359.9,17.9,41.0,135.9,20.2,89.3,8.42,Rabi,Rainfed,4.17
Maize,Ahmedabad,Red,516.2,31.5,75.4,56.6,76.4,44.6,8.12,Kharif,Rainfed,5.38
Soybean,Junagadh,Black,511.2,24.6,60.5,91.8,33.8,46.5,7.73,Kharif,Drip,4.41
Cotton,Surat,Sandy,1993.2,31.3,82.8,127.1,24.8,23.3,6.22,Kharif,Rainfed,1.85
Soybean,Junagadh,Clay,939.5,28.3,68.4,23.9,79.5,21.8,8.37,Kharif,Tube Well,3.88
Soybean,Bhavnagar,Sandy,918.0,19.9,61.9,39.8,23.6,114.6,6.84,Kharif,Rainfed,2.5
Cotton,Junagadh,Sandy,1482.7,31.1,93.5,92.1,69.5,68.2,7.4,Kharif,Rainfed,3.36
Barley,Amreli,Black,549.0,18.6,41.6,36.8,32.1,117.0,6.49,Rabi,Canal,4.67
Maize,Vadodara,Sandy,964.9,18.1,50.3,46.3,12.9,26.3,6.52,Rabi,Drip,3.94
Soybean,Vadodara,Black,764.1,31.0,63.9,30.5,59.4,27.0,6.54,Kharif,Canal,4.5
Soybean,Surat,Red,618.3,21.8,63.8,70.6,42.9,110.3,7.64,Kharif,Tube Well,3.67
Cotton,Vadodara,Black,1805.8,35.4,86.6,123.5,10.2,90.3,7.99,Kharif,Sprinkler,2.62
Rice,Bhavnagar,Sandy,969.4,27.9,87.5,28.5,16.4,52.3,8.33,Summer,Sprinkler,4.35
Soybean,Rajkot,Alluvial,1299.2,26.4,67.6,36.7,19.3,31.2,6.02,Kharif,Canal,3.75
Soybean,Amreli,Red,510.5,23.9,60.3,78.3,56.2,19.6,5.87,Kharif,Canal,4.14
Rice,Bhavnagar,Black,894.3,27.4,90.6,68.5,16.2,72.0,8.09,Kharif,Drip,5.36
Maize,Surat,Sandy,887.9,22.5,70.4,64.5,58.1,89.1,7.57,Rabi,Drip,5.42
Wheat,Junagadh,Clay,374.6,22.7,73.1,60.8,51.4,54.8,5.52,Rabi,Rainfed,4.91
Maize,Rajkot,Black,978.0,29.8,70.3,87.2,18.4,32.6,8.42,Rabi,Sprinkler,5.5
Barley,Surat,Red,424.7,13.4,47.3,131.1,43.1,56.5,6.44,Rabi,Tube Well,4.19
Wheat,Vadodara,Alluvial,553.7,17.2,56.6,73.3,89.6,72.3,5.76,Rabi,Sprinkler,5.37
Maize,Bhavnagar,Sandy,1373.7,28.8,84.3,77.3,52.6,32.7,6.24,Kharif,Sprinkler,4.57
Wheat,Vadodara,Red,381.7,16.8,49.5,136.0,54.6,51.5,7.24,Rabi,Canal,5.46
Soybean,Surat,Clay,940.0,23.6,84.8,125.6,59.9,74.8,7.36,Kharif,Canal,4.15
Cotton,Vadodara,Black,1560.2,25.2,93.9,129.1,67.8,71.0,8.11,Kharif,Sprinkler,3.59
Soybean,Amreli,Red,552.0,27.5,66.3,24.1,87.6,114.7,7.04,Kharif,Rainfed,3.96
Barley,Bhavnagar,Alluvial,507.2,14.8,66.7,66.4,50.9,66.7,7.23,Rabi,Rainfed,4.44
Maize,Vadodara,Red,1244.8,28.7,70.1,134.7,26.0,26.5,8.06,Rabi,Rainfed,5.04
Maize,Bhavnagar,Red,959.4,26.8,82.4,22.3,48.1,87.2,7.67,Kharif,Sprinkler,5.53
Barley,Ahmedabad,Alluvial,547.3,23.3,49.8,45.3,86.6,15.9,8.49,Rabi,Sprinkler,4.68
Barley,Bhavnagar,Red,538.0,20.9,42.4,20.7,85.0,101.3,7.93,Rabi,Drip,4.81
Rice,Junagadh,Red,1812.4,25.9,85.6,22.9,34.5,72.7,7.4,Summer,Drip,5.08
Soybean,Vadodara,Red,1282.0,27.5,54.0,121.0,29.4,65.2,5.94,Kharif,Tube Well,3.64
Wheat,Vadodara,Sandy,504.6,23.2,72.5,68.6,82.5,48.8,6.93,Rabi,Canal,5.09
Soybean,Vadodara,Clay,822.0,27.1,54.3,126.6,50.2,62.2,7.26,Kharif,Tube Well,4.28
Barley,Junagadh,Sandy,483.1,22.0,68.8,116.5,54.2,69.6,5.93,Rabi,Canal,4.4
Barley,Ahmedabad,Alluvial,746.9,15.8,54.1,32.3,25.1,97.2,7.65,Rabi,Canal,4.83
Barley,Amreli,Black,606.8,16.8,72.9,29.9,84.5,101.8,5.89,Rabi,Canal,5.01
Cotton,Junagadh,Alluvial,1407.3,34.7,76.3,135.7,17.1,87.1,6.98,Kharif,Tube Well,3.6
Rice,Junagadh,Red,994.8,25.6,91.3,41.9,32.3,28.6,7.53,Kharif,Canal,5.67
Soybean,Ahmedabad,Black,948.7,23.4,80.3,77.1,18.9,81.6,7.81,Kharif,Sprinkler,3.88
Rice,Junagadh,Black,1572.9,27.8,86.6,64.5,79.6,91.7,7.44,Kharif,Canal,5.86
Soybean,Ahmedabad,Black,1164.7,22.4,72.6,67.4,67.1,35.9,8.17,Kharif,Rainfed,3.22
Cotton,Surat,Red,881.3,23.6,80.5,52.1,76.8,16.5,6.64,Kharif,Sprinkler,3.36
Rice,Surat,Black,813.9,28.5,93.9,82.3,64.2,47.7,7.82,Summer,Rainfed,5.1
Rice,Junagadh,Alluvial,1605.5,23.1,76.5,64.1,24.5,60.7,6.5,Summer,Tube Well,5.43
